product,uf,volume,year_month,unit
GASOLINA C (m3),RONDÔNIA,136073.253,2000-01-01,m3
GASOLINA C (m3),ACRE,3358.346,2000-01-01,m3
GASOLINA C (m3),AMAZONAS,20766.918,2000-01-01,m3
GASOLINA C (m3),RORAIMA,3716.032,2000-01-01,m3
GASOLINA C (m3),PARÁ,29755.907,2000-01-01,m3
GASOLINA C (m3),AMAPÁ,4096.7,2000-01-01,m3
GASOLINA C (m3),TOCANTINS,8046.45,2000-01-01,m3
GASOLINA C (m3),MARANHÃO,19185.495,2000-01-01,m3
GASOLINA C (m3),PIAUÍ,9638.45,2000-01-01,m3
GASOLINA C (m3),CEARÁ,36847.944,2000-01-01,m3
GASOLINA C (m3),RIO GRANDE DO NORTE,17949.95,2000-01-01,m3
GASOLINA C (m3),PARAÍBA,20266.851,2000-01-01,m3
GASOLINA C (m3),PERNAMBUCO,51905.707,2000-01-01,m3
GASOLINA C (m3),ALAGOAS,164548.309,2000-01-01,m3
GASOLINA C (m3),SERGIPE,12707.571,2000-01-01,m3
GASOLINA C (m3),BAHIA,73630.193,2000-01-01,m3
GASOLINA C (m3),MINAS GERAIS,197289.3,2000-01-01,m3
GASOLINA C (m3),ESPÍRITO SANTO,34425.525,2000-01-01,m3
GASOLINA C (m3),RIO DE JANEIRO,162775.786,2000-01-01,m3
GASOLINA C (m3),SÃO PAULO,575302.161,2000-01-01,m3
GASOLINA C (m3),PARANÁ,141272.276,2000-01-01,m3
GASOLINA C (m3),SANTA CATARINA,84778.684,2000-01-01,m3
GASOLINA C (m3),RIO GRANDE DO SUL,160079.439,2000-01-01,m3
GASOLINA C (m3),MATO GROSSO DO SUL,21692.937,2000-01-01,m3
GASOLINA C (m3),MATO GROSSO,23245.28,2000-01-01,m3
GASOLINA C (m3),GOIÁS,58254.692,2000-01-01,m3
GASOLINA C (m3),DISTRITO FEDERAL,593389.679,2000-01-01,m3
GASOLINA C (m3),RONDÔNIA,10500.844,2001-01-01,m3
GASOLINA C (m3),ACRE,3345.625,2001-01-01,m3
GASOLINA C (m3),AMAZONAS,22763.56,2001-01-01,m3
GASOLINA C (m3),RORAIMA,3111.004,2001-01-01,m3
GASOLINA C (m3),PARÁ,35388.101,2001-01-01,m3
GASOLINA C (m3),AMAPÁ,3861.75,2001-01-01,m3
